person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status
24,91184,1,25000,14.7,0.27,3,668,1
23,91886,1,25000,16.02,0.27,4,544,1
23,80452,2,25000,15.37,0.31,2,699,1
25,108758,2,25000,10.99,0.23,4,611,0
21,18916,0,6200,7.9,0.33,2,615,1
26,217234,5,25000,10.99,0.12,4,559,0
24,217017,0,21000,11.48,0.1,3,577,0
25,216874,1,20000,14.26,0.09,4,657,0
26,216833,5,10000,8,0.05,4,676,0
25,216483,0,9950,11.26,0.05,2,601,0
23,19000,2,4475,11.01,0.24,4,647,1
23,94363,0,25000,16.32,0.26,3,576,1
25,80570,3,25000,17.93,0.31,4,612,1
23,109167,0,25000,11.36,0.23,3,678,0
24,95753,1,25000,14.96,0.26,4,542,1
24,110935,1,25000,13.43,0.23,3,709,0
25,111490,2,25000,12.69,0.22,3,622,0
24,111729,4,25000,12.73,0.22,4,642,0
23,113396,0,25000,15.21,0.22,4,660,0
23,19175,1,1750,12.68,0.09,3,587,0
23,85787,0,25000,19.04,0.29,4,646,1
25,102114,7,25000,15.95,0.24,3,637,1
26,211005,5,2600,8.9,0.01,4,718,0
25,210903,4,8000,7.9,0.04,2,588,0
22,210555,0,18000,11.01,0.09,2,652,0
23,210937,0,21000,11.99,0.1,3,620,0
23,19062,2,4000,13.98,0.21,4,667,1
23,18926,0,4600,10.99,0.24,2,688,1
22,106694,0,25000,15.58,0.23,2,667,1
25,90718,4,25000,10.99,0.28,2,692,1
25,106668,1,25000,14.96,0.23,4,562,1
25,19158,4,1750,15.31,0.09,4,625,0
26,106419,5,25000,15.65,0.23,3,649,1
25,120696,3,25000,9.33,0.21,4,545,0
23,19065,3,3600,13.47,0.19,4,540,1
24,124083,0,25000,10.36,0.2,3,637,0
24,111673,4,25000,16.77,0.22,4,600,1
23,112633,1,25000,14.59,0.22,2,633,1
22,210938,0,3500,11.91,0.02,2,588,0
23,210720,2,7200,8.38,0.03,3,624,0
25,210705,7,9000,10.59,0.04,3,525,0
25,209997,3,8800,14.27,0.04,3,616,0
26,209873,3,12000,12.53,0.06,4,675,0
25,195268,1,25000,16,0.13,3,662,1
26,209393,2,10000,11.71,0.05,4,585,0
21,18773,0,3175,11.54,0.17,3,686,1
25,116439,2,25000,15.68,0.21,4,595,1
21,19169,2,1500,10.59,0.08,2,537,0
24,118417,0,25000,12.61,0.21,2,625,1
26,133476,0,25000,11.01,0.19,2,641,0
23,19312,4,2800,8.49,0.14,3,661,1
25,192351,1,30000,17.27,0.16,4,577,1
24,206648,4,18000,8.9,0.09,4,537,0
25,205046,6,10000,11.11,0.05,4,646,0
24,190735,1,25000,14.59,0.13,2,653,1
26,204872,3,13000,12.42,0.06,3,654,0
24,100758,0,25000,11.01,0.25,2,635,1
24,133231,3,25000,15.7,0.19,2,675,0
22,18923,0,2500,12.53,0.13,3,618,1
25,161894,0,5000,16.49,0.03,2,609,1
25,205144,0,20000,7.49,0.1,2,545,0
22,121617,2,25000,14.96,0.21,2,629,1
25,136206,6,25000,12.73,0.18,4,539,0
24,144915,4,25000,10.65,0.17,4,593,0
25,145233,3,25000,10.74,0.17,2,683,0
23,145002,1,25000,9.99,0.17,2,670,0
24,110953,0,25000,15.33,0.23,2,662,1
21,19414,2,1000,7.29,0.05,4,681,0
26,130096,1,25000,15.05,0.19,3,636,1
26,157292,0,25000,10.75,0.16,3,677,0
23,156995,3,25000,16.02,0.16,2,656,0
23,156952,0,25000,11.49,0.16,4,674,0
25,205005,6,20000,12.53,0.1,4,587,0
26,205060,2,12000,13.57,0.06,2,658,0
22,203782,4,14000,11.14,0.07,3,581,0
26,203368,3,24250,12.87,0.12,3,606,0
23,203403,0,20000,11.58,0.1,3,648,0
24,202715,3,1800,11.12,0.01,3,563,0
25,202525,1,35000,10.65,0.17,2,589,0
24,161487,1,25000,10.37,0.15,2,641,0
24,19677,3,3300,6.39,0.17,4,637,1
24,161952,2,25000,16.07,0.15,3,578,0
25,161560,0,25000,10.62,0.15,2,660,0
25,19423,3,3200,18.09,0.16,2,586,1
25,163134,5,25000,11.36,0.15,4,567,0
26,163683,5,25000,12.53,0.15,4,582,0
25,174972,3,25000,9.99,0.14,4,712,0
23,181016,4,25000,10.36,0.14,3,674,0
23,198920,0,9600,5.99,0.05,3,532,0
22,184800,1,24000,15.62,0.13,2,670,1
24,198862,6,20000,10.37,0.1,4,658,0
25,199407,0,25000,19.74,0.13,4,669,0
21,198803,0,20000,6.91,0.1,4,681,0
23,20044,3,6000,7.9,0.3,2,618,1
23,20401,4,2275,13.06,0.11,4,573,0
23,19859,0,2000,6.39,0.1,3,491,0
23,178660,2,25000,14.93,0.14,3,590,1
23,20421,0,5600,12.84,0.27,4,587,1
24,20353,2,3625,17.14,0.18,2,648,1
22,20297,0,5500,7.14,0.27,3,687,1
25,210932,0,25000,8.9,0.12,2,621,0
22,20405,0,2000,12.42,0.1,3,590,0
24,223194,0,25000,12.68,0.11,2,676,0
25,195560,0,25000,11.03,0.13,2,677,0
26,194140,6,30000,7.9,0.15,4,651,0
22,193337,0,35000,10.65,0.18,4,602,0
25,270992,2,25000,11.86,0.09,4,652,0
25,20221,5,5000,8.94,0.25,4,572,1
23,20678,0,4375,9.63,0.21,4,528,1
25,60742,3,24750,14.22,0.41,3,638,1
23,72805,2,24750,9.33,0.34,3,655,1
24,102011,3,24500,13.85,0.24,4,627,0
22,20896,0,2000,10.65,0.1,2,596,0
24,111283,0,24500,11.46,0.22,4,694,0
23,192873,0,35000,7.66,0.18,2,684,0
24,193174,0,12000,16.77,0.06,4,547,0
25,193249,0,12000,9.63,0.06,4,586,0
26,192954,5,25000,12.23,0.13,4,694,0
25,152227,2,10000,14.09,0.07,4,639,1
25,65399,0,24250,13.98,0.37,4,663,1
23,75928,4,24250,10.62,0.32,4,528,1
24,21627,0,3900,11.01,0.18,3,636,1
25,83235,3,24250,17.56,0.29,4,603,1
26,68297,3,24250,14.96,0.36,2,507,1
22,89977,3,24250,15.65,0.27,2,692,1
24,79510,2,24250,15.7,0.3,2,604,1
24,109050,5,24250,12.53,0.22,3,622,0
26,94635,2,24250,17.56,0.26,3,643,1
23,120966,0,24250,12.87,0.2,2,565,0
23,124437,0,24250,15.7,0.19,2,718,0
25,193147,3,9000,11.01,0.05,3,625,0
25,192914,0,15000,11.14,0.08,4,614,0
24,192806,2,20000,16,0.1,3,690,0
23,193097,0,25000,15.65,0.13,2,564,0
26,193082,5,13750,11.01,0.07,4,579,0
21,192841,1,15250,15.31,0.08,4,648,0
25,193300,3,20000,13.47,0.1,2,531,0
22,21205,0,4750,13.85,0.22,2,658,1
25,135292,3,24250,11.01,0.18,3,574,0
21,21363,2,6000,10.39,0.28,4,671,1
25,139035,7,24250,11.36,0.17,2,633,0
23,173511,0,24250,11.83,0.14,3,631,0
23,345520,0,24250,12.53,0.07,3,652,0
22,130762,3,24150,14.96,0.18,3,683,1
22,52596,0,24000,13.85,0.46,3,693,1
23,57326,2,24000,11.58,0.42,4,603,1
24,58262,1,24000,16.29,0.41,2,522,1
26,58620,4,24000,11.01,0.41,3,664,1
21,55113,0,24000,16.29,0.44,2,645,1
25,63361,2,24000,10.74,0.38,2,592,1
22,22107,4,2250,15.27,0.1,3,636,0
24,57356,3,24000,17.8,0.42,2,672,1
22,21790,0,1000,11.36,0.05,2,686,0
22,59680,0,24000,17.56,0.4,4,590,1
26,72720,2,24000,7.9,0.33,4,636,1
25,73024,5,24000,10.99,0.33,4,580,1
22,73110,0,24000,7.29,0.33,3,674,1
21,72902,0,24000,10.75,0.33,2,601,1
26,75416,4,24000,7.9,0.32,3,620,1
22,75959,0,24000,14.84,0.32,2,642,1
26,79222,7,24000,11.01,0.3,2,616,1
22,21824,0,4975,11.01,0.23,3,588,1
23,71875,1,24000,19.69,0.33,2,585,1
23,80313,1,24000,11.01,0.3,4,632,1
24,72647,5,24000,14.96,0.33,4,556,1
25,80492,4,24000,6.99,0.3,3,602,1
22,75646,0,24000,16.45,0.32,4,639,1
24,85223,3,24000,10.99,0.28,4,603,1
23,89735,2,24000,10.99,0.27,2,689,1
22,22364,4,3000,7.9,0.13,4,672,1
22,90780,2,24000,12.69,0.26,4,499,1
24,90889,1,24000,10.37,0.26,3,643,1
24,90911,2,24000,11.01,0.26,3,589,1
26,83953,2,24000,15.83,0.29,3,646,1
23,94644,1,24000,13.92,0.25,3,613,1
22,22616,0,2000,11.49,0.09,3,567,0
24,96989,4,24000,10.25,0.25,2,603,0
22,22867,3,3500,7.49,0.15,4,647,1
23,22583,1,4000,5.99,0.18,2,645,1
23,90900,0,24000,12.92,0.26,2,672,1
26,107641,6,24000,11.58,0.22,3,648,0
25,114870,4,24000,8.9,0.21,2,653,0
22,100479,0,24000,19.69,0.24,3,590,1
25,114958,2,24000,6.54,0.21,4,704,0
21,22882,0,4900,14.54,0.21,4,674,1
21,22392,0,5000,11.11,0.22,2,594,1
26,120498,5,24000,12.73,0.2,4,626,0
24,132873,2,24000,15.62,0.18,4,701,0
24,22635,3,6250,6.54,0.28,4,602,1
22,118299,0,24000,11.01,0.2,2,503,1
26,125665,5,24000,20,0.19,4,657,1
22,144904,0,24000,9.91,0.17,4,638,0
24,144882,2,24000,12.69,0.17,4,646,0
26,130649,4,24000,20,0.18,3,678,1
24,149622,4,24000,16.49,0.16,4,684,0
23,22957,1,2500,15.95,0.11,2,594,1
24,157225,1,24000,11.49,0.15,3,538,0
25,163004,3,24000,10.99,0.15,2,662,0
24,163035,2,24000,13.79,0.15,2,636,0
23,138731,0,24000,20,0.17,3,613,1
23,180804,1,24000,7.49,0.13,4,573,0
23,166378,0,24000,16,0.14,2,714,1
24,22684,0,13000,7.88,0.57,3,640,1
21,22366,0,6250,10.62,0.28,4,637,1
26,187161,7,24000,10.99,0.13,4,633,0
26,178439,0,24000,18.3,0.13,2,615,1
26,204962,2,24000,11.01,0.12,2,552,0
21,22673,0,2500,11.36,0.11,3,670,0
24,53633,4,23975,11.01,0.45,2,678,1
23,144983,2,23750,13.47,0.16,2,676,0
24,67032,2,23600,11.89,0.35,3,624,1
24,22664,0,10000,12.18,0.44,2,649,1
25,123299,0,23600,13.49,0.19,4,555,0
23,91275,0,23575,14.5,0.26,4,613,1
22,22564,1,4000,11.01,0.18,2,684,1
22,22786,0,5400,15.31,0.24,2,647,1
25,22450,4,4000,11.01,0.18,3,580,1
21,22666,0,3375,11.01,0.15,2,630,1
22,81701,1,23400,7.49,0.29,2,589,1
22,52984,0,23000,11.01,0.43,3,621,1
25,68579,1,23000,11.01,0.34,2,665,1
23,73014,0,23000,12.18,0.32,4,668,1
24,22608,2,1200,11.34,0.05,4,615,0
25,76932,2,23000,9.91,0.3,3,604,1
24,78955,1,23000,11.99,0.29,4,620,1
23,82567,0,23000,9.62,0.28,2,558,1
22,22466,0,3000,9.96,0.13,3,603,1
25,97251,2,23000,11.01,0.24,2,683,0
24,106607,1,23000,14.54,0.22,2,641,1
22,71385,0,22750,11.36,0.32,4,521,1
23,84865,3,22500,14.27,0.27,2,655,1
24,22789,1,3000,11.99,0.13,3,663,1
26,84801,4,22500,18.99,0.27,2,605,1
24,88421,4,22400,16.7,0.25,4,708,1
24,23071,3,5000,9.32,0.22,3,571,1
23,43042,1,22250,12.69,0.52,3,678,1
25,53119,1,22000,13.11,0.41,2,597,1
25,63311,1,22000,10.74,0.35,2,689,1
21,23597,0,4200,14.11,0.18,4,675,1
22,69308,1,22000,9.63,0.32,3,591,1
25,70598,5,22000,14.65,0.31,2,616,1
23,73044,0,22000,10.25,0.3,4,640,1
24,73043,0,22000,14.26,0.3,2,593,1
25,23627,4,3000,9.91,0.13,2,649,1
26,68198,4,22000,17.19,0.32,3,645,1
22,85089,0,22000,11.36,0.26,4,537,1
22,80358,0,22000,11.01,0.27,2,635,1
23,90025,0,22000,10.59,0.24,3,640,0
24,93232,2,22000,9.25,0.24,2,625,0
22,23497,0,3625,8.49,0.15,3,557,1
26,93314,8,22000,6.54,0.24,3,643,0
21,23543,0,6000,8.49,0.25,3,631,1
24,97038,0,22000,11.01,0.23,4,653,0
26,100246,1,22000,12.69,0.22,2,623,0
24,23667,3,7400,13.85,0.31,2,662,1
25,23719,2,4000,7.4,0.17,3,667,1
23,101575,1,22000,11.71,0.22,4,586,0
25,94168,3,22000,11.48,0.23,3,719,1
25,99394,1,22000,17.51,0.22,2,646,1
21,23504,0,3500,14.61,0.15,3,646,1
23,120500,3,22000,7.88,0.18,4,646,0
23,133195,1,22000,11.01,0.17,3,643,0
22,24148,1,4950,11.71,0.2,2,594,1
25,69353,1,21700,11.99,0.31,2,664,1
24,65946,0,21600,13.49,0.33,2,605,1
23,68677,0,21600,20,0.31,4,646,1
26,76687,3,21600,14.35,0.28,3,655,1
22,99087,0,21600,13.61,0.22,3,597,0
22,94523,0,21600,11.26,0.23,3,679,1
22,24092,0,2400,10.59,0.1,3,654,0
24,135365,1,21600,7.9,0.16,2,556,0
24,24420,2,7000,5.99,0.29,4,694,1
25,23948,3,3000,11.99,0.13,4,587,1
24,71718,2,21500,16.89,0.3,3,620,1
24,84999,0,21500,9.99,0.25,3,701,1
24,140396,4,21500,15.33,0.15,3,572,0
25,73404,4,21450,7.29,0.29,4,671,1
22,38473,0,21250,12.42,0.55,3,599,1
25,57546,3,21250,10.99,0.37,2,610,1
25,62422,4,21250,6.91,0.34,2,588,1
22,23993,1,5000,14.17,0.21,2,691,1
22,64732,0,21250,10.25,0.33,3,645,1
26,23955,2,9250,11.01,0.39,2,618,1
24,68154,2,21250,15.95,0.31,3,672,1
24,79138,2,21250,15.95,0.27,4,650,1
21,42536,0,21000,12.53,0.49,4,687,1
22,23888,0,1400,14.91,0.06,4,535,1
23,24013,0,3000,11.01,0.12,4,604,1
26,48929,6,21000,6.54,0.43,4,601,1
25,24121,1,1000,11.01,0.04,3,612,0
26,51379,5,21000,17.26,0.41,4,666,1
23,76364,0,21000,11.36,0.27,2,645,1
26,24297,3,4000,7.51,0.16,4,678,1
22,71599,0,21000,10.71,0.29,3,644,1
22,85496,1,21000,13.98,0.25,4,614,0
26,79163,3,21000,14.09,0.27,3,627,1
22,90944,0,21000,10,0.23,3,523,0
22,23973,0,5000,15.33,0.21,3,571,1
25,75181,4,21000,16.32,0.28,4,546,1
24,95767,2,21000,7.9,0.22,2,640,0
23,96788,1,21000,11.99,0.22,3,648,0
24,101708,2,21000,10.75,0.21,4,593,0
26,103023,4,21000,13.92,0.2,3,658,0
22,113027,2,21000,9.91,0.19,3,701,0
26,98366,4,21000,16.95,0.21,3,702,1
26,117668,0,21000,7.9,0.18,3,711,0
26,117297,4,21000,11.01,0.18,3,570,0
25,120885,4,21000,16.49,0.17,3,637,1
26,24183,5,7500,11.97,0.31,2,621,1
21,23664,1,6250,6.17,0.26,3,637,1
26,150692,7,21000,8.9,0.14,2,534,0
25,151100,2,21000,12.99,0.14,3,577,0
23,99197,1,20900,12.69,0.21,2,638,0
21,24468,0,15000,9.64,0.61,2,548,1
26,61015,2,20500,7.49,0.34,3,676,1
23,84845,0,20500,13.16,0.24,3,641,0
22,24872,0,2100,8.38,0.08,4,630,0
123,97140,101,20400,10.25,0.21,3,805,0
23,65613,0,20375,7.49,0.31,2,518,1
26,32325,4,20050,9.76,0.62,2,652,1
24,40881,0,20000,10.99,0.49,3,600,1
